Question,Answer
Who acted as Ray Conway in the movie 'Accidents Happen'?,Joel Tobeck
Who acted as Lejla in the movie 'A Serbian Film'?,Katarina Žutić
Who acted as Walt Lawson in the movie 'Lake Placid'?,David Lewis
Who acted as Nancy in the movie 'Carnage'?,Kate Winslet
Who acted as Antonia in the movie 'Romasanta'?,Laura Mañá
Who acted as Arlington Steward in the movie 'The Box'?,Frank Langella
Who acted as Gary Winston in the movie 'An Unfinished Life'?,Damian Lewis
Who acted as Mary-Lou in the movie 'The Man Who Fell to Earth'?,Candy Clark
Who acted as Rodney in the movie 'Never Let Me Go'?,Domhnall Gleeson
Who acted as Claire Colburn in the movie 'Elizabethtown'?,Kirsten Dunst
Who acted as Jay in the movie 'Kites'?,Hrithik Roshan
Who acted as Archy in the movie 'RockNRolla'?,Mark Strong
Who acted as King in the movie 'Down to Earth'?,Chazz Palminteri
Who acted as Frenchy in the movie 'Small Time Crooks'?,Tracey Ullman
Who acted as Audrey Taylor in the movie 'Barton Fink'?,Judy Davis
Who acted as Kyoko in the movie 'Ex Machina'?,Sonoya Mizuno
Who acted as Mr. Rutland in the movie 'Marnie'?,Alan Napier
Who acted as Frannie Goldsmith in the movie 'The Stand'?,Molly Ringwald
Who acted as  in the movie 'Samsara'?,Ni Made Megahadi Pratiwi
Who acted as Debbie Stone in the movie 'Killer Klowns from Outer Space'?,Suzanne Snyder
Who acted as Det. Jack Caine in the movie 'Dark Angel'?,Dolph Lundgren
Who acted as Mrs. Errol in the movie 'Little Lord Fauntleroy'?,Connie Booth
Who acted as James Franco in the movie 'This Is the End'?,James Franco
Who acted as Sarah Torrance in the movie 'The Last Stand'?,Jaimie Alexander
Who acted as Muriel in the movie 'The Apartment'?,Sandrine Kiberlain
Who acted as Harlan Griffith in the movie 'Eight Legged Freaks'?,Doug E. Doug
Who acted as Joseph Donnelly in the movie 'Far and Away'?,Tom Cruise
Who acted as Gordon Jennings in the movie 'Takers'?,Idris Elba
Who acted as Hitomi in the movie 'Appleseed'?,Yuki Matsuoka
Who acted as Ash Martini in the movie 'Small Time'?,Dean Norris
Who acted as Lois Clark in the movie 'An Affair to Remember'?,Neva Patterson
Who acted as Krug in the movie 'The Last House on the Left'?,Garret Dillahunt
Who acted as Luther Stickell in the movie 'Mission: Impossible II'?,Ving Rhames
Who acted as Abby in the movie 'The Collection'?,Erin Way
Who acted as Dominic in the movie 'Switchblade Sisters'?,Asher Brauner
Who acted as Paul in the movie 'Help!'?,Paul McCartney
Who acted as Mrs. Nickerson in the movie 'In the Heart of the Sea'?,Michelle Fairley
Who acted as Madison in the movie 'Robot & Frank'?,Liv Tyler
Who acted as Jim in the movie 'We're No Angels'?,Sean Penn
Who acted as Dr. Klinger in the movie 'The Counterfeiters'?,August Zirner
Who acted as Young Denis Thatcher in the movie 'The Iron Lady'?,Harry Lloyd
Who acted as Sandy in the movie 'The Man from Earth'?,Annika Peterson
Who acted as Charlie in the movie 'The Ice Harvest'?,John Cusack
Who acted as Battle in the movie 'The Longest Yard'?,Bill Goldberg
Who acted as Blue Boy in the movie 'The Undefeated'?,Roman Gabriel
Who acted as Thomas Seyr in the movie 'The Beat That My Heart Skipped'?,Romain Duris
Who acted as Conor in the movie 'The Disappearance of Eleanor Rigby: Him'?,James McAvoy
Who acted as Richard Dunn in the movie 'Paper Man'?,Jeff Daniels
Who acted as Andy in the movie 'Forget Paris'?,Joe Mantegna
Who acted as Celia de la Serna in the movie 'The Motorcycle Diaries'?,Mercedes Morán
Who acted as Braden in the movie 'Revenge of the Ninja'?,Arthur Roberts
Who acted as Walter Klemmer in the movie 'The Piano Teacher'?,Benoît Magimel
Who acted as Kyle in the movie 'The Vow'?,Lucas Bryant
Who acted as Himself in the movie 'Jackass: The Movie'?,Chris Pontius
Who acted as Alfred Borden in the movie 'The Prestige'?,Christian Bale
"Who acted as Sensei Lee in the movie 'No Retreat, No Surrender'?",Tai Chung Kim
Who acted as Jay Murphy in the movie 'Kissing a Fool'?,Jason Lee
Who acted as William in the movie 'Saw VI'?,Peter Outerbridge
Who acted as Donna - Red Team Leader in the movie 'Midnight Madness'?,Maggie Roswell
Who acted as Josemaría in the movie 'There Be Dragons'?,Charlie Cox
Who acted as Jared Wilke in the movie 'Reign of Fire'?,Scott Moutter
Who acted as Liliane in the movie 'Day for Night'?,Dani
Who acted as Anna Taylor in the movie 'After.Life'?,Christina Ricci
"Who acted as Anne Henderson in the movie 'Paris, Texas'?",Aurore Clément
Who acted as Bobby Stiles in the movie 'The Flock'?,Ray Wise
Who acted as Ted Maltin in the movie 'Jingle All the Way'?,Phil Hartman
Who acted as Maria in the movie 'The Substitute'?,Sonja Richter
Who acted as Jim Belushi in the movie 'Wag the Dog'?,Jim Belushi
Who acted as Lavinia in the movie 'The Banger Sisters'?,Susan Sarandon
Who acted as Young Caitlin Greene in the movie 'Darkness Falls'?,Emily Browning
Who acted as Dulcy in the movie 'A Midsummer Night's Sex Comedy'?,Julie Hagerty
Who acted as Mark in the movie 'Suspiria'?,Miguel Bosé
Who acted as Rose Pearson in the movie 'Aliens in the Attic'?,Doris Roberts
Who acted as Josef in the movie 'Creep'?,Mark Duplass
Who acted as Fazio in the movie 'Leprechaun 3'?,John DeMita
Who acted as Louis McKay in the movie 'Lady Sings the Blues'?,Billy Dee Williams
Who acted as Sophie Donovan in the movie 'Step Up 2: The Streets'?,Cassie Ventura
Who acted as Clara del Valle Trueba in the movie 'The House of the Spirits'?,Meryl Streep
Who acted as Zaphod Beeblebrox in the movie 'The Hitchhiker's Guide to the Galaxy'?,Sam Rockwell
Who acted as Rafi Gardet in the movie 'Prime'?,Uma Thurman
Who acted as Jim Reston in the movie 'Brain Dead'?,Bill Paxton
Who acted as El Cirujano in the movie 'Sniper'?,Ken Radley
Who acted as Julie Gianni in the movie 'Vanilla Sky'?,Cameron Diaz
Who acted as Zeke in the movie 'Beneath'?,Griffin Newman
Who acted as Debra in the movie 'Empire Records'?,Robin Tunney
Who acted as Doug Reed in the movie 'Hope Springs'?,Oliver Platt
Who acted as Fordy in the movie 'Plastic'?,Will Poulter
Who acted as John McTeague in the movie 'Greed'?,Gibson Gowland
Who acted as Sam Bell in the movie 'Moon'?,Sam Rockwell
Who acted as Violet Newstead in the movie 'Nine to Five'?,Lily Tomlin
Who acted as Mallory in the movie 'Welcome to the Rileys'?,Kristen Stewart
Who acted as Tommy Corn in the movie 'I Heart Huckabees'?,Mark Wahlberg
Who acted as Eve Clayton in the movie 'Airport '77'?,Brenda Vaccaro
Who acted as Kirk in the movie 'The Texas Chain Saw Massacre'?,William Vail
Who acted as Marlene in the movie 'Barbie & Her Sisters in A Pony Tale'?,Alex Kelly
Who acted as Andrea Sachs in the movie 'The Devil Wears Prada'?,Anne Hathaway
Who acted as Hogan in the movie 'The People That Time Forgot'?,Shane Rimmer
Who acted as Bill Hart in the movie '2012: Ice Age'?,Patrick Labyorteaux
Who acted as Jocko in the movie 'Hells Angels on Wheels'?,John Garwood
Who acted as Jean in the movie 'The Ipcress File'?,Sue Lloyd
Who acted as Robert Griffith in the movie 'Prayers for Bobby'?,Henry Czerny
Who acted as Prosecutor in the movie 'Passion'?,Benjamin Sadler
Who acted as Maxine Lund in the movie 'Being John Malkovich'?,Catherine Keener
Who acted as George Mortensen in the movie 'A Woman Under the Influence'?,Fred Draper
Who acted as Stéphane in the movie 'The Science of Sleep'?,Gael García Bernal
Who acted as John Reynolds in the movie 'Volunteers'?,Tim Thomerson
Who acted as Jan Valek in the movie 'Vampires'?,Thomas Ian Griffith
Who acted as Hermione Granger in the movie 'Harry Potter and the Philosopher's Stone'?,Emma Watson
Who acted as Grace Collier in the movie 'Sisters'?,Jennifer Salt
Who acted as Avery Cross in the movie 'The Place Beyond the Pines'?,Bradley Cooper
Who acted as Karen Goodwin in the movie 'The Day of the Triffids'?,Janette Scott
Who acted as Uncle Ned in the movie 'Joshua'?,Dallas Roberts
Who acted as Jared Grace / Simon Grace in the movie 'The Spiderwick Chronicles'?,Freddie Highmore
Who acted as Emek Yoglu in the movie 'The Walker'?,Moritz Bleibtreu
Who acted as Lena in the movie 'Blue Crush'?,Sanoe Lake
Who acted as Kate in the movie 'The Reef'?,Zoe Naylor
Who acted as Drew Baylor in the movie 'Elizabethtown'?,Orlando Bloom
Who acted as Georgia Randall in the movie 'Georgia Rule'?,Jane Fonda
Who acted as Bobby Keller in the movie 'Dream a Little Dream'?,Corey Feldman
Who acted as Todd in the movie 'Jack and Jill'?,Nick Swardson
Who acted as Larten Crepsley in the movie 'Cirque du Freak: The Vampire's Assistant'?,John C. Reilly
Who acted as John in the movie 'Next Door'?,Kristoffer Joner
Who acted as Dhankor in the movie 'Goliyon Ki Raasleela Ram-Leela'?,Supriya Pathak
Who acted as Jamie Massey in the movie 'While We're Young'?,Adam Driver
Who acted as Cyrus Crabb in the movie 'Dinotopia'?,David Thewlis
Who acted as Frida in the movie 'Mostly Martha'?,Sibylle Canonica
Who acted as Lila in the movie 'Barbie of Swan Lake'?,Venus Terzo
Who acted as Jo in the movie 'The Marquis'?,Jean-Hugues Anglade
Who acted as Graham Bloomwood in the movie 'Confessions of a Shopaholic'?,John Goodman
Who acted as François in the movie 'My Best Friend'?,Daniel Auteuil
Who acted as Benjamín Espósito in the movie 'The Secret in Their Eyes'?,Ricardo Darín
Who acted as Ronald Fleury in the movie 'The Kingdom'?,Jamie Foxx
Who acted as Brad Kopple in the movie 'The Deaths of Ian Stone'?,Michael Dixon
Who acted as Methodius in the movie 'Ghost Rider: Spirit of Vengeance'?,Christopher Lambert
Who acted as Karen Eriksson in the movie 'Guns at Batasi'?,Mia Farrow
Who acted as Xander Cage in the movie 'xXx'?,Vin Diesel
Who acted as Chucky in the movie 'Oldboy'?,Michael Imperioli
Who acted as Det. Chilcoat in the movie '13 Sins'?,Ron Perlman
Who acted as Mrs. Wilson in the movie 'Gosford Park'?,Helen Mirren
Who acted as Berniece Brackett in the movie 'In & Out'?,Debbie Reynolds
Who acted as Ludwig Götten in the movie 'The Lost Honor of Katharina Blum'?,Jürgen Prochnow
Who acted as Cyrus in the movie '88'?,Christopher Lloyd
Who acted as Larry Conway in the movie 'Accidents Happen'?,Harry Cook
Who acted as Lizzie Borden in the movie 'Lizzie Borden Took An Ax'?,Christina Ricci
Who acted as Himself in the movie 'Who Killed the Electric Car?'?,Tom Hanks
Who acted as Dr. Gene Tuskin in the movie 'Exorcist II: The Heretic'?,Louise Fletcher
Who acted as Nikki Gardner in the movie 'Fracture'?,Rosamund Pike
Who acted as Sadako in the movie 'Sadako 3D'?,Ai Hashimoto
Who acted as Mark Corso in the movie 'All Things To All Men'?,Pierre Mascolo
Who acted as Annie Crook in the movie 'Murder by Decree'?,Geneviève Bujold
Who acted as George Baines in the movie 'The Piano'?,Harvey Keitel
Who acted as Jen in the movie 'Halloween: Resurrection'?,Katee Sackhoff
Who acted as Sgt. Major Duke Wayne in the movie 'A Warrior's Heart'?,Adam Beach
Who acted as Judy Hollander in the movie 'The Bat'?,Darla Hood
Who acted as Rosane in the movie 'Elite Squad: The Enemy Within'?,Maria Ribeiro
Who acted as Beverly Weston in the movie 'August: Osage County'?,Sam Shepard
Who acted as Jon in the movie 'Garfield'?,Breckin Meyer
Who acted as Jock Strapp in the movie 'Mortdecai'?,Paul Bettany
Who acted as Penn in the movie 'Under Siege 2: Dark Territory'?,Everett McGill
Who acted as Kale Brecht in the movie 'Disturbia'?,Shia LaBeouf
Who acted as Ralph in the movie 'Lord of the Flies'?,Balthazar Getty
Who acted as Rigg in the movie 'Saw IV'?,Lyriq Bent
Who acted as Bill Meister in the movie 'Mr. Holland's Opus'?,Jay Thomas
Who acted as Argos in the movie 'Jason and the Argonauts'?,Laurence Naismith
Who acted as Dragonfly in the movie 'Superhero Movie'?,Drake Bell
"Who acted as Frank Castle, Sr. in the movie 'The Punisher'?",Roy Scheider
Who acted as Eren Yeager in the movie 'Attack on Titan'?,Haruma Miura
"Who acted as Glen Dargon in the movie 'Stockholm, Pennsylvania'?",David Warshofsky
Who acted as Mikey in the movie 'The Houses October Built'?,Mikey Roe
Who acted as Ángela Vidal in the movie '[REC]⁴ Apocalypse'?,Manuela Velasco
Who acted as Michel Poiccard / Laszlo Kovacs in the movie 'Breathless'?,Jean-Paul Belmondo
Who acted as Rebecca Jamison in the movie 'The Visit'?,Olivia DeJonge
Who acted as Vadim Radtchinko in the movie 'K-19: The Widowmaker'?,Peter Sarsgaard
Who acted as Cassandra in the movie 'The Scorpion King'?,Kelly Hu
Who acted as Clyde Torkle in the movie 'Stroker Ace'?,Ned Beatty
Who acted as Esmeralda in the movie 'The Class'?,Esmeralda Ouertani
Who acted as Josh in the movie 'Comet'?,Eric Winter
Who acted as Yvonne in the movie 'The Intouchables'?,Anne Le Ny
Who acted as Brighton in the movie 'Mirror Mirror'?,Nathan Lane
Who acted as Robby in the movie 'An Innocent Man'?,Todd Graff
Who acted as Hannah Ásgeirsson in the movie 'Journey to the Center of the Earth'?,Anita Briem
Who acted as Ellen Simmons in the movie 'Human Desire'?,Kathleen Case
Who acted as Hiroshi Takahashi in the movie 'Restless'?,Ryo Kase
Who acted as MacDonald in the movie 'Pitfall'?,Raymond Burr
Who acted as Tripler in the movie 'The Romantics'?,Malin Åkerman
Who acted as Del Sizemore in the movie 'Nurse Betty'?,Aaron Eckhart
Who acted as Blake Collins in the movie 'Step Up 2: The Streets'?,Will Kemp
Who acted as Melody in the movie 'Thunderbolt and Lightfoot'?,Catherine Bach
Who acted as Joe Lambert in the movie 'Die Hard: With a Vengeance'?,Graham Greene
Who acted as Dr. G.E. Soberin in the movie 'Kiss Me Deadly'?,Albert Dekker
Who acted as Jonah Collins in the movie 'Trespass'?,Cam Gigandet
Who acted as Sanford Scolex in the movie 'Inspector Gadget'?,Rupert Everett
Who acted as Steve Mason in the movie 'Lucky'?,Adam Harrington
Who acted as Jacuzzi in the movie 'Code Name: The Cleaner'?,Niecy Nash
Who acted as Birdy Abundas in the movie 'The Man Who Wasn't There'?,Scarlett Johansson
Who acted as Dr. Glendon in the movie 'Werewolf of London'?,Henry Hull
Who acted as Lisa Abrams in the movie 'Born To Race'?,Sherry Stringfield
Who acted as Chu / Godfather in the movie 'Once a Thief'?,Paul Chu Kong
Who acted as Gideon de Villiers in the movie 'Ruby Red'?,Jannis Niewöhner
Who acted as Lionel Shahbandar in the movie 'Gambit'?,Alan Rickman
Who acted as Captain Malone in the movie 'Dark Angel'?,Jim Haynie
Who acted as Alex in the movie 'About Alex'?,Jason Ritter
Who acted as Su-Mi in the movie 'A Tale of Two Sisters'?,Im Soo-jung
Who acted as Ray in the movie 'Maggie'?,Douglas M. Griffin
Who acted as M.I.C. Joseph Zimmer in the movie 'Good Kill'?,Jake Abel
Who acted as Aaron in the movie 'Creep'?,Patrick Brice
Who acted as Himself in the movie 'Being Elmo: A Puppeteer's Journey'?,Frank Oz
Who acted as Anna Brady in the movie 'Leap Year'?,Amy Adams
Who acted as Marianne Dashwood in the movie 'Sense and Sensibility'?,Kate Winslet
Who acted as Doctor Easter in the movie 'nan'?,Hiroki Touchi
Who acted as Matron Mama Morton in the movie 'Chicago'?,Queen Latifah
Who acted as Yul in the movie 'Seventh Moon'?,Tim Chiou
Who acted as Pierre Brochant in the movie 'The Dinner Game'?,Thierry Lhermitte
Who acted as Fr. Hartl in the movie 'Lourdes'?,Gilette Barbier
Who acted as Jill Johnson in the movie 'Superhero Movie'?,Sara Paxton
Who acted as Nick Parks in the movie 'Brokedown Palace'?,Daniel Lapaine
Who acted as Emily in the movie 'Devil's Due'?,Aimee Carrero
Who acted as Vega in the movie 'Street Fighter II: The Animated Movie'?,Takeshi Kusaka
Who acted as Colonel Worth in the movie 'Original Sin'?,Gregory Itzin
Who acted as Lila Loomis in the movie 'Psycho II'?,Vera Miles
Who acted as Neil in the movie 'Thanks for Sharing'?,Josh Gad
Who acted as Lilly Desange in the movie 'Mama'?,Isabelle Nélisse
Who acted as Macduff in the movie 'Macbeth'?,Sean Harris
Who acted as Capt./Maj. Bennett Marco in the movie 'The Manchurian Candidate'?,Frank Sinatra
Who acted as Snow White in the movie 'Mirror Mirror'?,Lily Collins
Who acted as Celeste Martin in the movie 'My Stepmother is an Alien'?,Kim Basinger
Who acted as Nick Callan in the movie 'The Four Seasons'?,Len Cariou
Who acted as Carmen Cortez in the movie 'Spy Kids: All the Time in the World'?,Alexa PenaVega
Who acted as Dr. Bud Chantilas in the movie 'Red Planet'?,Terence Stamp
Who acted as Steve Tobias in the movie 'The In-Laws'?,Michael Douglas
Who acted as Darryl Cooper in the movie 'Poison Ivy'?,Tom Skerritt
Who acted as Nicole Oakley in the movie 'Crazy/Beautiful'?,Kirsten Dunst
Who acted as Vice Principal Gene Wolters in the movie 'Mr. Holland's Opus'?,William H. Macy
Who acted as Penny in the movie 'Dr. Horrible's Sing-Along Blog'?,Felicia Day
Who acted as Oh Dae-su in the movie 'Oldboy'?,Choi Min-sik
Who acted as Carter Grant in the movie 'Scouts Guide to the Zombie Apocalypse'?,Logan Miller
Who acted as Bus Guard #2 in the movie 'Most Wanted'?,Kenn Whitaker
Who acted as Petal in the movie 'The Shipping News'?,Cate Blanchett
Who acted as Sook in the movie 'The Interview'?,Diana Bang
Who acted as Ada Monroe in the movie 'Cold Mountain'?,Nicole Kidman
Who acted as Rath in the movie 'Once Fallen'?,Ash Adams
Who acted as Jim Braddock in the movie 'Cinderella Man'?,Russell Crowe
Who acted as Стас in the movie '9th Company'?,Artyom Mikhalkov
Who acted as James in the movie 'American Heist'?,Hayden Christensen
Who acted as Lisa in the movie 'The Room'?,Juliette Danielle
Who acted as Katie in the movie 'Paranormal Activity 4'?,Katie Featherston
Who acted as Hardy in the movie 'Basic'?,John Travolta
Who acted as Cope in the movie 'The Killing Room'?,Bill Stinchcomb
Who acted as Amber Belhaven in the movie 'What's the Worst That Could Happen?'?,Carmen Ejogo
Who acted as Kar in the movie 'Bulletproof Monk'?,Seann William Scott
Who acted as Harris Parker in the movie 'Main Street'?,Orlando Bloom
Who acted as Sarah in the movie 'The Way'?,Deborah Kara Unger
Who acted as Chen Dawai in the movie 'Blackhat'?,Leehom Wang
Who acted as Otto Preminger in the movie 'Introducing Dorothy Dandridge'?,Klaus Maria Brandauer
"Who acted as April in the movie 'Definitely, Maybe'?",Isla Fisher
Who acted as Turso in the movie 'The Bourne Legacy'?,Stacy Keach
Who acted as Phil in the movie 'For the Boys'?,Bud Yorkin
Who acted as Herself in the movie 'Capitalism: A Love Story'?,Thora Birch
Who acted as Jolene in the movie 'Electra Glide in Blue'?,Jeannine Riley
Who acted as Michelle in the movie 'Return to House on Haunted Hill'?,Cerina Vincent
Who acted as Mother in the movie 'Five Children and It'?,Tara Fitzgerald
Who acted as Claire in the movie 'The Babadook'?,Hayley McElhinney
Who acted as Lord Arthur in the movie 'Army of Darkness'?,Marcus Gilbert
Who acted as Van Wilder in the movie 'National Lampoon’s Van Wilder'?,Ryan Reynolds
Who acted as Trooper Jack Deth in the movie 'Trancers'?,Tim Thomerson
Who acted as Sophie Widdicombe Benham in the movie 'A Child Is Waiting'?,Gena Rowlands
Who acted as Jill Masterson in the movie 'Goldfinger'?,Shirley Eaton
Who acted as Doctor Otternschlag in the movie 'Grand Hotel'?,Lewis Stone
Who acted as The Ogre in the movie '1990: The Bronx Warriors'?,Fred Williamson
Who acted as Hattie Pearl in the movie 'The Butler'?,Mariah Carey
Who acted as Mexico Girl in the movie 'The Three Caballeros'?,Carmen Molina
Who acted as Gloria Vogal in the movie 'Heartbreakers'?,Anne Bancroft
Who acted as Jody Sawyer in the movie 'Center Stage'?,Amanda Schull
Who acted as Faye Valentine in the movie 'Cowboy Bebop: The Movie'?,Megumi Hayashibara
Who acted as Gretchen Hardenberg in the movie 'The Young Lions'?,May Britt
Who acted as Patty in the movie 'Rumble Fish'?,Diane Lane
Who acted as Joseph in the movie 'Birth'?,Danny Huston
Who acted as Himself in the movie '1'?,Niki Lauda
Who acted as Xenia in the movie 'Kiss of the Damned'?,Anna Mouglalis
Who acted as George/Kuato in the movie 'Total Recall'?,Marshall Bell
Who acted as Lorna in the movie 'Hostel: Part II'?,Heather Matarazzo
Who acted as Graeme Miller in the movie 'AVP: Alien vs. Predator'?,Ewen Bremner
Who acted as Dr. Ferreiro in the movie 'Pan's Labyrinth'?,Alex Angulo
Who acted as Inspector Craddock in the movie 'Murder at the Gallop'?,Charles Tingwell
Who acted as Jack Wells in the movie 'Lake Placid'?,Bill Pullman
Who acted as Conrad Walden in the movie 'The Cat in the Hat'?,Spencer Breslin
Who acted as Grandpa Gustafson in the movie 'Grumpier Old Men'?,Burgess Meredith
Who acted as Spike Spiegel in the movie 'Cowboy Bebop: The Movie'?,Kouichi Yamadera
Who acted as Dixie DeLaughter in the movie 'Ghosts of Mississippi'?,Virginia Madsen
Who acted as Eva Sanchez in the movie 'The Purge: Anarchy'?,Carmen Ejogo
Who acted as Jess Crichton in the movie 'A Long Way Down'?,Imogen Poots
Who acted as Himself in the movie 'Jodorowsky's Dune'?,Chris Foss
Who acted as Casares in the movie 'The Devil's Backbone'?,Federico Luppi
Who acted as Det. Maya Sunee in the movie 'Street Fighter: The Legend of Chun-Li'?,Moon Bloodgood
Who acted as Caroline Madsen in the movie 'Chalet Girl'?,Brooke Shields
Who acted as Lois Lane in the movie 'Superman IV: The Quest for Peace'?,Margot Kidder
Who acted as Sheriff Baskin in the movie 'Winter's Bone'?,Garret Dillahunt
Who acted as T. C. Jeffords in the movie 'The Furies'?,Walter Huston
Who acted as Rod Lane in the movie 'A Nightmare on Elm Street'?,Jsu Garcia
Who acted as Bruun in the movie 'The Hunt'?,Lars Ranthe
Who acted as Richter Joseph Kern in the movie 'Three Colors: Red'?,Jean-Louis Trintignant
Who acted as Ariane Chavasse / Thin Girl in the movie 'Love in the Afternoon'?,Audrey Hepburn
Who acted as Russell Bellows in the movie 'Dead Calm'?,Rod Mullinar
Who acted as Reuben Smith in the movie 'Black Beauty'?,Alun Armstrong
Who acted as Mrs. Cotton Marcus in the movie 'The Last Exorcism'?,Shanna Forrestall
Who acted as Reuben Widdicombe in the movie 'A Child Is Waiting'?,Bruce Ritchey
Who acted as Babe Bennett in the movie 'Mr. Deeds'?,Winona Ryder
Who acted as Mary Callahan in the movie 'Frankenfish'?,China Chow
Who acted as Delilah Fitzgerald in the movie 'Unforgiven'?,Anna Levine
Who acted as Madame Ruth in the movie 'Love Potion No. 9'?,Anne Bancroft
Who acted as Dani in the movie 'Three Steps Above Heaven'?,Nerea Camacho
Who acted as Col. Robert Gould Shaw in the movie 'Glory'?,Matthew Broderick
Who acted as Princess Celestia in the movie 'My Little Pony: Equestria Girls'?,Nicole Oliver
Who acted as Peter Gregory in the movie 'Charlotte Gray'?,Rupert Penry-Jones
