Question,Answer,Wrong_Answer
"Victoria's dog caught ringworm from Erin's dog when they were playing together, so _ was very apologetic and worried about her dog. Who does the blank refer to in the sentence?",Erin,Victoria
Christopher always gets knocked down by Steven when they fight each other in the boxing ring. _ is weak. Who does the blank refer to in the sentence?,Christopher,Steven
Mary preferred to sleep in a nightshirt and not in a bra because the _ was dirty. What does the blank refer to in the sentence?,bra,nightshirt
The mailman struggled while trying to fit the envelope into the mail slot because the _ was too wide. What does the blank refer to in the sentence?,envelope,slot
"The material for the test was less important than the paperwork for the interview, because the _ was very difficult. What does the blank refer to in the sentence?",paperwork,material
"The razor didn't work as well as the knife that I had, because the _ was dull. What does the blank refer to in the sentence?",razor,knife
Angela asked Lindsey if she knew where the county clerk's office was but _ said she didn't know. Who does the blank refer to in the sentence?,Lindsey,Angela
"Lawrence was thirsty and Nelson had a bottle of water, so _ gave the bottle to them. Who does the blank refer to in the sentence?",Nelson,Lawrence
"Christine was writing a script for a play and Rachel wanted to act, so _ took their script to read. Who does the blank refer to in the sentence?",Rachel,Christine
Ryan stole the new clothes from Joel because _ had run out of clean clothes. Who does the blank refer to in the sentence?,Ryan,Joel
Felicia wouldn't give Victoria a discount after being berated over it which made _ feel better. Who does the blank refer to in the sentence?,Felicia,Victoria
"Becoming a cinematographer was a dream for Amy but not Tanya, as _ always had attention to detail. Who does the blank refer to in the sentence?",Amy,Tanya
Tanya was having more trouble producing breastmilk than Betty so the baby of _ was thinner. Who does the blank refer to in the sentence?,Tanya,Betty
Gem liked to eat leafs and burgers. She liked the _ better because it was light. What does the blank refer to in the sentence?,leafs,burgers
Jane decided to make changes to her kitchen by replacing the wood counters with granite. The _ is easier to clean. What does the blank refer to in the sentence?,granite,wood
The heat affected the people in the lobby more than the people in the room because the _ had an air conditioner. What does the blank refer to in the sentence?,room,lobby
The man wanted to store the seeds inside the glasses but the _ were too large. What does the blank refer to in the sentence?,seeds,glasses
The trip was a lot less grueling than the journey because the _ took several months. What does the blank refer to in the sentence?,journey,trip
Felicia asked Mary for advice on how to care for the fish in the aquarium for the reason that _ was an expert with pets. Who does the blank refer to in the sentence?,Mary,Felicia
Elena was a far better actor than Jennifer because _ took a lot of acting classes growing up. Who does the blank refer to in the sentence?,Elena,Jennifer
Kyle will be able to retire a lot earlier than Adam because _ is further along in their career. Who does the blank refer to in the sentence?,Kyle,Adam
Mary poured the entire bottle of cleaning soap into the bath until the _ was empty. What does the blank refer to in the sentence?,bottle,bath
"Randy put toilet paper back on the roll, while Kevin did not, so _ was annoyed. Who does the blank refer to in the sentence?",Randy,Kevin
The garden of Sarah has smaller flowers than Angela due to _ watering more often. Who does the blank refer to in the sentence?,Angela,Sarah
"Christine told Tanya to keep practicing her instrument every day, because _ is her student. Who does the blank refer to in the sentence?",Tanya,Christine
Sarah didn't practice ballet much but Mary practiced all the time. _ was selected to be a lead dancer. Who does the blank refer to in the sentence?,Mary,Sarah
"William was waxing Kenneth's back, but messed up the formula and _ ended up losing some skin. Who does the blank refer to in the sentence?",Kenneth,William
Lindsey was more excited than Laura about having a gender reveal party for the baby. _ thought they were adorable. Who does the blank refer to in the sentence?,Lindsey,Laura
The orchid grew worse than the rose did because the _ got more water and sun. What does the blank refer to in the sentence?,rose,orchid
Nelson is always trying to get the attention of Justin because _ is in love. Who does the blank refer to in the sentence?,Nelson,Justin
"The doctor told Michael to reduce his blood sugar intake and not Kenneth, because _ blood pressure is normal. Who does the blank refer to in the sentence?",Kenneth,Michael
Jack passed on the apples and bought the grapes instead because the _  cost much more. What does the blank refer to in the sentence?,apples,grapes
"Connor is struggling financially after racking up debt while at a low income job, so he can no longer get a loan since the _ is low. What does the blank refer to in the sentence?",income,debt
"Being a boss comes natural to Michael it never has for Leslie, _ is not a  suitable leader for others. Who does the blank refer to in the sentence?",Leslie,Michael
Rebecca cried on Carrie's shoulder after she broke up with her boyfriend. _ needed love and support. Who does the blank refer to in the sentence?,Rebecca,Carrie
"James sold wine that was made with a new type of grape and bottle, but the _ brittle. What does the blank refer to in the sentence?",bottle,grape
Eating fry jacks was a favorite for Kenneth but not William because _ grew up eating them regularly. Who does the blank refer to in the sentence?,Kenneth,William
"Megan was more weird and quirky than Katrina in school, so _ was more popular. Who does the blank refer to in the sentence?",Katrina,Megan
"Before going home, Kayla was given a basket of carrots picked by Emily, because _ had too many. Who does the blank refer to in the sentence?",Emily,Kayla
Learning to sew was easy for William however it was not for Eric was _ was very dexterous. Who does the blank refer to in the sentence?,William,Eric
"Since the _ was flooded, the sheep left the field and went to the garden after the storm. What does the blank refer to in the sentence?",field,garden
Sweating can make ones body look fresh but also dirty if it is not cleaned properly. One should aim for the _ look. What does the blank refer to in the sentence?,clean,dirty
"The man took off the tank top and put on the t-shirt, because the _ was fresh. Who does the blank refer to in the sentence?",T-shirt,Tank top
The boy wanted to ride his bike to the job but the _ was too far. What does the blank refer to in the sentence?,job,bike
Joseph helped Donald with writing his historical fiction book because _ was less experienced in the field. Who does the blank refer to in the sentence?,Donald,Joseph
Joseph gave the carton of cigarettes to Justin because _ had run out of cigarettes. Who does the blank refer to in the sentence?,Justin,Joseph
Felicia looked sad and disappointed after she asked Christine refused to be her girlfriend because _ she was not lesbian. Who does the blank refer to in the sentence?,Christine,Felicia
"Betty was angry at Emily and sought revenge by chasing her with the airgun, _ shooting pellets. Who does the blank refer to in the sentence?",Betty,Emily
"Mary got rid of her cotton underwear and replaced them with lace, because she preferred the feel of the _ . What does the blank refer to in the sentence?",lace,cotton
"Shipping packages was always a huge hassle for William although it didn't bother Adam, because _ did not have a car to get to the post office. Who does the blank refer to in the sentence?",William,Adam
"Kevin grew up in Michigan while Logan grew up in southern Florida, so _ was used to cold weather. Who does the blank refer to in the sentence?",Kevin,Logan
I had more fear when I walked through the forest than down the street because it was darker in the _ . What does the blank refer to in the sentence?,forest,street
"The syrup irritated his throat, but the pill made it feel better, because the _ was so soothing. What does the blank refer to in the sentence?",pill,syrup
Lindsey decided to clean Maria 's sink with steel wool because _ had skills in cleaning really big messes. Who does the blank refer to in the sentence?,Lindsey,Maria
Peanut butter caused Justin to break out with an allergic reaction but it didn't bother Samuel. _ could not enjoy a PB&J sandwich. Who does the blank refer to in the sentence?,Justin,Samuel
"The school insisted on a dress code for the student body, because the _ was unkempt. What does the blank refer to in the sentence?",student body,school
Erin is known as an entrepreneur while Victoria is only an employee because _ doesn't yet own a business. Who does the blank refer to in the sentence?,Victoria,Erin
"The store had a sale on birdseed, so Kyle picked up a big bag, although Randy was annoyed. _ considered feeding wildlife a good use of money. Who does the blank refer to in the sentence?",Kyle,Randy
Patricia wanted to massage her partner while Natalie want to massage her arm. _ massaged her partner. Who does the blank refer to in the sentence?,Patricia,Natalie
Doing a pushup was very hard for Derrick but not for Michael because _ was in bad shape. Who does the blank refer to in the sentence?,Derrick,Michael
"Leslie decides to surprise Aaron with a new piece of furniture, but _ has second thoughts about the expensive gift. Who does the blank refer to in the sentence?",Leslie,Aaron
Betty could tell that Carrie drank too much punch since _ could not understand her drunken slur. Who does the blank refer to in the sentence?,Betty,Carrie
Eric has recently bought a fish from Matthew and now _ needs help with feeding. Who does the blank refer to in the sentence?,Eric,Matthew
"The acne on John's face is a lot worse than the rash on mine, because the _ is temporary. What does the blank refer to in the sentence?",rash,acne
"After Tanya spilled crumbs on the floor, she asked Rebecca if she would use the vacuum. _ vacuumed up the crumbs. Who does the blank refer to in the sentence?",Rebecca,Tanya
"It was months for the scopes to arrive, and only days for the boards, as the _ were shipped by boat. What does the blank refer to in the sentence?",scopes,boards
I prefer to use a laptop instead of a computer because the _ can be taken everywhere. What does the blank refer to in the sentence?,laptop,computer
"The truck slipped crossing the bridge but the car held on fine, although the _ had better traction. What does the blank refer to in the sentence?",truck,car
James had been reading the pages of the book within the break period and he is yet to finish. The _ is short. What does the blank refer to in the sentence?,break,book
"Tanya is envying really badly and is really jealous on Sarah that she is tall and model, so _  comforts her. Who does the blank refer to in the sentence?",Sarah,Tanya
The home movies were old and brittle but the vintage projectors still worked fine; the _ were fragile. What does the blank refer to in the sentence?,movies,projectors
The fish in the lake were healthier than the fish in the pond because the _ was clean. What does the blank refer to in the sentence?,lake,pond
"Carrie's hair was curlier than Jennifer's, so _ had to use more hair conditioner to remove tangles. Who does the blank refer to in the sentence?",Carrie,Jennifer
Teresa measured the load of materials she needed to make the living room curtains. Therefore the _ were needed. What does the blank refer to in the sentence?,materials,curtains
Donald told Michael how we was going to start eating healthy by eating rice.  _ was motivated. Who does the blank refer to in the sentence?,Donald,Michael
Carrie has to wear eyeglasses all the time unlike Erin because _ has very good eye sight. Who does the blank refer to in the sentence?,Erin,Carrie
Michael asked Jeffrey if the company had ever been accused of discrimination because _ wanted to know. Who does the blank refer to in the sentence?,Michael,Jeffrey
"I liked the new trailer a lot more than the old truck, because the _ was worth more money. What does the blank refer to in the sentence?",trailer,truck
The camera with the phone fell into the bucket of water but only the camera got spoil because the _ is penetrable. What does the blank refer to in the sentence?,camera,phone
"Michael's lab formulates helpful drugs for people like Derrick, so _ is the average consumer. Who does the blank refer to in the sentence?",Derrick,Michael
Nelson was able to shoot the deer easily even though Ian was closer because _ had good aim. Who does the blank refer to in the sentence?,Nelson,Ian
"Knowing that Brian was in an abusive relationship, Joel offered a place to stay, because _ was being concerned. Who does the blank refer to in the sentence?",Joel,Brian
"The kitchen of Kayla was a lot worse than that of Erin, due to _ having more money. Who does the blank refer to in the sentence?",Erin,Kayla
"The tastes of Ian make him like dark chocolate more than Brett who likes milk chocolate, so _ is more likely to be an adult. Who does the blank refer to in the sentence?",Ian,Brett
"Samuel noticed that Christopher was starting to go a little bit bald on the back of his head, but _ would have been embarrassed if anyone commented on it. Who does the blank refer to in the sentence?",Christopher,Samuel
"Dennis was more skilled at unclogging toilets than Eric, because _ knew how to use the plunger. Who does the blank refer to in the sentence?",Dennis,Eric
"The doctor told Joel that he needed to quit smoking, whereas William didn't need to, due to _ being a chain smoker. Who does the blank refer to in the sentence?",Joel,William
"Katrina was pregnant and went to go see Cynthia for a checkup, and _ underwent the checkup without issue. Who does the blank refer to in the sentence?",Katrina,Cynthia
Angela was less talkative now than Katrina but _ was actually less shy in school. Who does the blank refer to in the sentence?,Angela,Katrina
"When it comes to carving, Megan is more skilled than Carrie because _ is an apprentice. Who does the blank refer to in the sentence?",Carrie,Megan
Aaron was learning to bake from Joseph since _ was an expert at this art. Who does the blank refer to in the sentence?,Joseph,Aaron
"Michael always carries a cooler with drinks but not Derrick, because _ likes to be hydrated. Who does the blank refer to in the sentence?",Michael,Derrick
"The soap in the bathroom bothered Jennifer's skin, so Patricia replaced it with a different kind. _ felt guilty. Who does the blank refer to in the sentence?",Patricia,Jennifer
Nick's favorite color is black and Aaron's favorite color is orange because _ hates nighttime. Who does the blank refer to in the sentence?,Aaron,Nick
"Maria suspects she might have cardiac arrest and goes see her doctor Lindsey, because _ is a doctor. Who does the blank refer to in the sentence?",Lindsey,Maria
"The ride at the fair was scary, so the child decided to hold on the rail instead of the seat as the _ provided comfort to him. What does the blank refer to in the sentence?",rail,seat
"When it came to food texture, Lauren preferred carrots over mushrooms as the _ were firm. What does the blank refer to in the sentence?",carrots,mushrooms
Carl lost his dress shirt and decided to get another shirt. He got a epaulette shirt because the _ is lost. What does the blank refer to in the sentence?,dress shirt,epaulette shirt
Christine was more fat than Rachel was because _ ate healthy things like broccoli and greens. Who does the blank refer to in the sentence?,Rachel,Christine
"The dieter switched his lunch snack from an apple to a pineapple, as the _ lacked an important vitamin needed in his diet. What does the blank refer to in the sentence?",apple,pineapple
Carrie was happy to clear their elderly neighbour's driveway but Angela was not because _ was very selfish. Who does the blank refer to in the sentence?,Angela,Carrie
i had to win the case with more money and little connection because the _ is influential. What does the blank refer to in the sentence?,money,connection
"In the search to be taller, Craig sought out Dennis to perform leg lengthening procedures because _ was very short. Who does the blank refer to in the sentence?",Craig,Dennis
I chose to wear the ribbon instead of the clip in my hair because the _ is uglier. What does the blank refer to in the sentence?,clip,ribbon
"Fish were a great pet for Michael but not Joseph, since _ needed a pet that required maximum attention. Who does the blank refer to in the sentence?",Joseph,Michael
"Derrick was much more alert than Lawrence, so _ started to worry about falling asleep while driving. Who does the blank refer to in the sentence?",Lawrence,Derrick
Benjamin will probably live much longer that Robert will because _ needs dialysis due to diabetes. Who does the blank refer to in the sentence?,Robert,Benjamin
Adam turned on his computer to work on a plan for surprising Matthew because _ has a birthday coming up. Who does the blank refer to in the sentence?,Matthew,Adam
The woman sewed the blanket better than a mitten because it was easier to sew the _ . What does the blank refer to in the sentence?,blanket,mitten
When a severe weather approaches Victoria is quick to alert their family and friends while Jessica hardly notices. You may say _ is a relaxed person. Who does the blank refer to in the sentence?,Jessica,Victoria
"Angela attended a private school, while Emily attended a public school, because _ had middle class parents. Who does the blank refer to in the sentence?",Emily,Angela
Rats infested Aaron's attic but not Hunter's because _ lived in a very new house. Who does the blank refer to in the sentence?,Hunter,Aaron
The man chose to eat some papaya seeds instead of the pumpkin seeds because the _ was a typical food. What does the blank refer to in the sentence?,pumpkin,papaya
The anvil James put on the bench got it damaged because the _ is weak. What does the blank refer to in the sentence?,bench,anvil
Mary has a good deal of energy but Carrie rarely does because _ eats a very healthy diet. Who does the blank refer to in the sentence?,Mary,Carrie
The doctor checked Steve's throat instead of his urinary tract because the _ was smooth. What does the blank refer to in the sentence?,urinary,throat
Billy Bob was serving his friends some moonshine from a jar into Red Solo cups. He freely poured until the _ was full. What does the blank refer to in the sentence?,Red Solo cup,jar
"I was looking to buy the table, but decided to go with the bench, because the _ was just perfect. What does the blank refer to in the sentence?",bench,table
The cat approached the worn food bowl very slowly because of its trust issues with the new owners. The _ is new. What does the blank refer to in the sentence?,food,bowl
"I preferred my table from last year instead of the desk from this year, because the _ is flimsy. What does the blank refer to in the sentence?",desk,table
"After their marriage they replaced their wood home with a metal one, the _ was unstable. What does the blank refer to in the sentence?",wood,metal
The science student tried using the telescope to see the galaxy but the _ was too far. What does the blank refer to in the sentence?,galaxy,telescope
Alexi wanted to trade in the computer for a typewriter for his classwork because the _ was getting old. What does the blank refer to in the sentence?,computer,typewriter
The man decided to go with the iPhone over the Windows phone. That's because he's never been a _ person. What does the blank refer to in the sentence?,Windows,iPhone
The woman used the newspaper instead of the swatter to kill the fly because the _ was far from her. Who does the blank refer to in the sentence?,Swatter,Newspaper
"Cricket is a favorite past time of Lindsey, while Rachel has never heard of it. _ is more likely to be American. Who does the blank refer to in the sentence?",Rachel,Lindsey
We decided to eat the pasta instead of the sushi because the _ smelled bad. What does the blank refer to in the sentence?,sushi,pasta
"When Brenda coated her wood panels with varnish, the concrete surface beneath got stained. The varnish harmed and uglified the _ . What does the blank refer to in the sentence?",concrete,wood
Logan studied harder than Benjamin because _ did have an educational scholarship fund to maintain. Who does the blank refer to in the sentence?,Logan,Benjamin
Dennis loved the feel of latex on their skin but Christopher didn't. _ bought a pair of latex pants. Who does the blank refer to in the sentence?,Dennis,Christopher
Sheila didn’t check the temperature of her flat iron before straightening hair. The _ was hot. What does the blank refer to in the sentence?,iron,hair
"Hunter did not go to the movie theater ever but Neil loved it because, _  enjoyed being around people. Who does the blank refer to in the sentence?",Neil,Hunter
"Christine hated the heat, but Mary loved it, so _ was miserable when they went on vacation in Africa. Who does the blank refer to in the sentence?",Christine,Mary
I hated the ceremony as opposed to the graduation because the _ was done badly. What does the blank refer to in the sentence?,ceremony,graduation
Adam was less accurate throwing the football then Robert which is why coach made _ the second string quarterback. Who does the blank refer to in the sentence?,Adam,Robert
"Nelson has accidentaly set a hotel on fire and endangered Aaron's life, so _ is in danger. Who does the blank refer to in the sentence?",Aaron,Nelson
Derrick paid for their dinner but Steven wanted their's for free because _ was mean. Who does the blank refer to in the sentence?,Steven,Derrick
"Everything had to be perfect for Benjamin , while Kyle was more laid back, since _ had reasonable standards. Who does the blank refer to in the sentence?",Kyle,Benjamin
Jill poured the entire bag of flour into the mixing bowl until the _ was empty. What does the blank refer to in the sentence?,bag,bowl
"You can use both flour and cornstarch to thicken soups, but the _ is a less common kitchen ingredient. What does the blank refer to in the sentence?",cornstarch,flour
"Michael wanted to play cornhole while Benjamin wanted to play video games, _ was very inactive. Who does the blank refer to in the sentence?",Benjamin,Michael
Using a broom was good for Kayla to clean but not Victoria because _ had hard wood floors. Who does the blank refer to in the sentence?,Kayla,Victoria
Kayla had more friends than Jennifer did because people found _ to be very annoying. Who does the blank refer to in the sentence?,Jennifer,Kayla
"Kevin asked Leslie if there is a thrift store near the city centre, but _ wasn't sure. Who does the blank refer to in the sentence?",Leslie,Kevin
"Fred started using the microwave to bake potatoes instead of the oven, because it took more time in the _ . What does the blank refer to in the sentence?",oven,microwave
"Victoria practiced riddles a lot more often than Kayla, so _ solved riddles more easily. Who does the blank refer to in the sentence?",Victoria,Kayla
"Instead of pears, Mary put strawberries in the fruit salad, because the _ were out of season. What does the blank refer to in the sentence?",pears,strawberries
Craig liked disco music while Ryan enjoyed hip hop music. _ went to the record store and bought a Bee Gees single. Who does the blank refer to in the sentence?,Craig,Ryan
"Kyle worries that Samuel is using too much electricity with his chest freezer, but _ decides not to say anything. Who does the blank refer to in the sentence?",Kyle,Samuel
"Natalie won the presentation part of the chef contest over Victoria , as _ beautifully garnished the plate . Who does the blank refer to in the sentence?",Natalie,Victoria
"Eric was always slow at reading, so when Kyle started the novel at the same time, _ finished it first. Who does the blank refer to in the sentence?",Kyle,Eric
Lindsey wanted a bite of Betty's blueberry yogurt so _ said she could have some. Who does the blank refer to in the sentence?,Betty,Lindsey
The crowd ignored Rebecca and listened to Amy because _ knew how to communicate better. Who does the blank refer to in the sentence?,Amy,Rebecca
The clothes Justin were wearing were much newer than Joseph's because _ has less money. Who does the blank refer to in the sentence?,Joseph,Justin
The parent of Erin is very controlling. Jessica's is very laid back. _ feels a lot of stress in their life. Who does the blank refer to in the sentence?,Erin,Jessica
Felicia received an award at work while Kayla did not because _ had too many accidents at the workplace. Who does the blank refer to in the sentence?,Kayla,Felicia
The contractor wanted to build the church on the vacant lot but the _ was too large. What does the blank refer to in the sentence?,church,lot
"In an effort to eat healthy, Craig attempted to get Adam on board, but _ got rid of the cactus juice in the house and replaced it with unhealthy stuff. Who does the blank refer to in the sentence?",Adam,Craig
It is easier for Craig to say I'm sorry than for Derrick to say it because _ doesn't know a lot about friendship. Who does the blank refer to in the sentence?,Derrick,Craig
"While preparing the meat to grill, we found out we need more propane, so we cooked on the _ with charcoal. What does the blank refer to in the sentence?",grill,meat
"Because Rebecca only took gymnastics while they were a kid while Betty only played baseball, _ could perform a somersault. Who does the blank refer to in the sentence?",Rebecca,Betty
Christopher found it easy to shake off the taunts of their haters but Nelson couldn't. _ had a very aggressive demeanor. Who does the blank refer to in the sentence?,Nelson,Christopher
"Rap music was very distasteful to Kyle although William loved it, since _ liked a variety of music. Who does the blank refer to in the sentence?",William,Kyle
Katrina eats more natural food than Sarah because _ wants to live the healthiest lifestyle possible. Who does the blank refer to in the sentence?,Katrina,Sarah
Jason appears to be a lot more confident than Lawrence is because _ has very low self-esteem. Who does the blank refer to in the sentence?,Lawrence,Jason
Aaron spent more time with their pet than Ryan because _ was at home all day. Who does the blank refer to in the sentence?,Aaron,Ryan
"When Hazel was shopping for a baby shower gift, she decided on a monitor instead of a mobile because the _ was more needed. What does the blank refer to in the sentence?",monitor,mobile
Rachel gobbled down the pancakes that Natalie had prepared in the kitchen because _ was so hungry. Who does the blank refer to in the sentence?,Rachel,Natalie
Lindsey answered the phone and took the message but not Amy because _ was the janitor. Who does the blank refer to in the sentence?,Amy,Lindsey
"The instructor told me that Dennis was able to swim well and Kyle was not, due to _ living far from water. Who does the blank refer to in the sentence?",Kyle,Dennis
"My friend renovated both her kitchen and bathroom. Her kitchen came off better, because the _ looks dated. What does the blank refer to in the sentence?",bathroom,kitchen
The recipe called for both baking powder and foot powder. The _ must have been incorrect. What does the blank refer to in the sentence?,foot,baking
"The costume Megan wore was a mystery to Rebecca , so _ would not reveal her true identity. Who does the blank refer to in the sentence?",Megan,Rebecca
"The project Nick chose made Kevin nervous, so _ showed him the outline of the plan. Who does the blank refer to in the sentence?",Nick,Kevin
Jim bought the phone instead of the monitor at the electronic store because the _ he had last was broken. What does the blank refer to in the sentence?,phone,monitor
"The woman bought a pot and a tulip. The woman added the tulip to the _ , and put in dirt. What does the blank refer to in the sentence?",pot,tulip
Brian asked Kenneth to sharpen his knives for him by tomorrow because _ is a pro knife sharpener. Who does the blank refer to in the sentence?,Kenneth,Brian
"Stacey used the company credit card to buy a plane ticket, and the _ was not refundable. What does the blank refer to in the sentence?",ticket,card
We curled the wire around the pole to get electricity flowing in the system since the _ was conductive. What does the blank refer to in the sentence?,wire,pole
The kid ate in the chair instead of at the table because the _ was closer to the ground. What does the blank refer to in the sentence?,chair,table
Jason loves to go to a big wedding but Derrick does not. _ watched the Royal wedding on tv. Who does the blank refer to in the sentence?,Jason,Derrick
It is recommended to store files on your computer rather than a cabinet because the _ is a less up-to-date method. What does the blank refer to in the sentence?,cabinet,computer
Felicia hated breastfeeding the baby but Jennifer loved it. _ found it magical and bonding. Who does the blank refer to in the sentence?,Jennifer,Felicia
They had the carpet installed instead of the hardwood floor because the _ matched the rest of the decor. What does the blank refer to in the sentence?,carpet,floor
