Question,Answer,Origin
"For the statement, ""I guess I'd like to look him up when I get back'  "", does the hypothesis ""He will be looked up on "" represent entailment, contradiction, or neutrality?",entailment,mnli
"For the statement, ""13 As the motor drove away, Mrs Cavendish suddenly detached herself from the group, and moved across the drive to the lawn to meet a tall bearded man who had been evidently making for the house "", does the hypothesis ""Mrs Cavendish went across the road to meet a man with a beard"" represent entailment, contradiction, or neutrality?",entailment,mnli
"For the statement, ""There must be hundreds of places ready to be used that way"", does the hypothesis ""I think there are hundreds of locations ready to be used that way "" represent entailment, contradiction, or neutrality?",entailment,mnli
"For the statement, ""In previous fights, wherein he was winning or had a good chance to win, his illness did not manifest itself"", does the hypothesis ""his illness did not manifest itself in previous fights"" represent entailment, contradiction, or neutrality?",entailment,mnli
"For the statement, ""The Kal crawled to the edge and peered down"", does the hypothesis ""The Kal peered down after crawling to the edge"" represent entailment, contradiction, or neutrality?",entailment,mnli
"For the statement, ""Madrid may be a planned bureaucrat's town (like Brasilia or Washington), but it's far richer in color and tone"", does the hypothesis ""Madrid is a town rich in color and tone"" represent entailment, contradiction, or neutrality?",entailment,mnli
"For the statement, ""In practice, the courts find infringement only in instances where language, images, or music were lifted wholesale"", does the hypothesis ""Courts refuse to deal with infringement"" represent entailment, contradiction, or neutrality?",contradiction,mnli
"For the statement, ""Iknow that I could find myself on that transplant waiting list someday"", does the hypothesis ""People need to worry about themselves, and not worry about being on the transplant list "" represent entailment, contradiction, or neutrality?",contradiction,mnli
"For the statement, ""I suppose it's only fair that girls win equal rights to good old, solipsistic Desire No"", does the hypothesis ""Disire No is considered to be solipsistic "" represent entailment, contradiction, or neutrality?",entailment,mnli
"For the statement, ""At this time, only weapons systems and space exploration equipment have been identified as Federal mission PP&amp;E for this entity"", does the hypothesis ""For the entity, only weapons systems and space exploration equipment have been identified as Federal mission PP&E at this moment in time"" represent entailment, contradiction, or neutrality?",entailment,mnli
"For the statement, ""In summary Mr Chairman, serious and disciplined efforts are needed to attack the management problems confronting some of our largest agencies"", does the hypothesis ""Managers of the largest agencies are dangerously unqualified"" represent entailment, contradiction, or neutrality?",neutral,mnli
"For the statement, ""It always hurts to be constrained, but sometimes it's worth it if your neighbors are constrained too"", does the hypothesis ""It's never worth to be constrained, not even if your neighbors are too"" represent entailment, contradiction, or neutrality?",contradiction,mnli
"For the statement, ""Evidence should be sufficient, competent, and relevant to support a sound basis for audit findings, conclusions, and recommendations"", does the hypothesis ""Evidence should be relevant to be used in audit findings, especially in health care"" represent entailment, contradiction, or neutrality?",neutral,mnli
"For the statement, ""This may seem a little bit like supplying a rival army with ammunition, but in fact it is entirely consistent with the stated mission of the IRS"", does the hypothesis ""The IRS has a mission that is easy to understand"" represent entailment, contradiction, or neutrality?",contradiction,mnli
"For the statement, ""However, the team used a method, learned in the CAP workshop, for analyzing and increasing stakeholder commitment levels"", does the hypothesis ""The method for increasing stakeholder commitment used by the team came from the CAP workshop"" represent entailment, contradiction, or neutrality?",entailment,mnli
"For the statement, ""Instantly, Sir Ernest's chin was shooting pugnaciously forward "", does the hypothesis ""Suddenly, Sir Ernest started fuming loudly with anger"" represent entailment, contradiction, or neutrality?",neutral,mnli
"For the statement, ""And as he says in the final pages of his "", does the hypothesis ""He concludes the story in the final pages"" represent entailment, contradiction, or neutrality?",neutral,mnli
"For the statement, ""It's an eternal controversy, and not even the pope can resolve it"", does the hypothesis ""The disarmament of Catholics is something not even the pope can resolve"" represent entailment, contradiction, or neutrality?",neutral,mnli
"For the statement, ""Cavalry saddle on the stud, two Colt pistols belted high and butt forward, and that military cord on his hat army boots, too"", does the hypothesis ""He had one colt pistol and one Smith and Wesson"" represent entailment, contradiction, or neutrality?",contradiction,mnli
"For the statement, ""This sends a powerful message to potential new recruits that the position is important enough to the organization that it warrants senior executive attention"", does the hypothesis ""The position seems important to the organization if the senior executive needs to give it their attention "" represent entailment, contradiction, or neutrality?",entailment,mnli
"For the statement, ""Days of Service have benefited Legal Aid Society of Cleveland (in conjunction with the ABA/NLADA Equal Justice Conference), Legal Action of Wisconsin (prior to the NLADA Annual Meeting), and Greater Orlando Area Legal Services (in conjunction with the Nonprofit Technology Enterprise Network (N-TEN) Conference)"", does the hypothesis ""Days of Service have benefited Legal Aid societies around the country"" represent entailment, contradiction, or neutrality?",entailment,mnli
"For the statement, ""Advocates worry that if substantial numbers of welfare mothers are pushed into jobs, centers might be swamped by demands to serve as many as a million added kids"", does the hypothesis ""If welfare mothers get jobs, it decreases the number of kids that centers need to serve"" represent entailment, contradiction, or neutrality?",contradiction,mnli
"For the statement, ""Former Republican National Committee Chairman Haley Barbour, too, is working on behalf of the companies involved in the settlement, and he deserves as much scorn as his Democratic counterparts"", does the hypothesis ""Just as much blame should be heaped upon Haley Barbour"" represent entailment, contradiction, or neutrality?",entailment,mnli
"For the statement, ""What were they like, the two men you passed? Tommy frowned in an effort at remembrance"", does the hypothesis ""Tommy couldn't remember what the men that passed looked like"" represent entailment, contradiction, or neutrality?",neutral,mnli
"For the statement, ""and i have just casually asked her what he did for a living and she said oh he's the supervisor of this chemical land fill you know where they go and dump all this toxic stuff"", does the hypothesis ""He works in a grocery store"" represent entailment, contradiction, or neutrality?",contradiction,mnli
"For the statement, ""It stretches around bays and rocky inlets from Olbia in the east to the promontory of La Maddalena"", does the hypothesis ""It reaches as far as Olbia and then ends suddenly"" represent entailment, contradiction, or neutrality?",contradiction,mnli
"For the statement, ""Evening shows are followed by Laserium light concerts"", does the hypothesis ""Tonight's evening show features Conan O'Brien"" represent entailment, contradiction, or neutrality?",neutral,mnli
"For the statement, ""The most southwesterly of Maui's big resorts, the Prince has a pretty beach facing Molokini Isle"", does the hypothesis ""The beach area at The Prince is located in Kansas, and overlooks a prairie"" represent entailment, contradiction, or neutrality?",contradiction,mnli
"For the statement, ""If a politician were to say today that he opposes abortion except when yadda yadda yadda , we would all know what he means, and we would know what was meant if, after an arrest, a police officer pulled out a card and just said yadda yadda"", does the hypothesis ""We never believe what politicians say"" represent entailment, contradiction, or neutrality?",contradiction,mnli
"For the statement, ""I'm not sure if the correspondents realize that the Hindu concept of Brahman has been around considerably longer than Sullivan's cross-pollination of something like the  a powerful (yet devout) bearded man, a cool breeze on a clear summer night, a John Lennon tune, and the Lion King"", does the hypothesis ""I am totally sure that the correspondence realize that the Hindu concept has been around"" represent entailment, contradiction, or neutrality?",contradiction,mnli
"For the statement, ""Literary party games held in ornate palace gardens required each guest to compose a small poem as his wine cup floated toward him along a miniature winding channel of water"", does the hypothesis ""Party games had no place in the palace gardens The plants didn't appreciate them"" represent entailment, contradiction, or neutrality?",contradiction,mnli
"For the statement, ""Interestingly, as figure 23 shows, saving as a share of GDP across all of these countries has declined since the 1960s"", does the hypothesis ""Figure 23 was created by me, which explains why I find it interesting"" represent entailment, contradiction, or neutrality?",neutral,mnli
"For the statement, ""In 2001, LSC began to systematize this effort by creating the Information Management Project"", does the hypothesis ""LSC created a project to keep information safe"" represent entailment, contradiction, or neutrality?",neutral,mnli
"For the statement, ""And Stewart Brand's II Cybernetic Frontiers (1974), which recounts how this generation of computer kids designed computer games based on science fiction and used the Internet to fashion a universe of their own"", does the hypothesis ""Stewart Brand created no material in the year 1974"" represent entailment, contradiction, or neutrality?",contradiction,mnli
"For the statement, ""what was that book that you were saying to read again"", does the hypothesis ""What book did you recommend?"" represent entailment, contradiction, or neutrality?",entailment,mnli
"For the statement, ""Order some Turkish coffee, Tommy"", does the hypothesis ""Don't order any coffee; please make tea instead"" represent entailment, contradiction, or neutrality?",contradiction,mnli
"For the statement, ""Sharing performance information can provide employees with a more meaningful perspective about how their day-to-day activities contribute toward the organization's goals and objectives"", does the hypothesis ""Employees get a good idea of their daily sales activities and how they help the organization's goals"" represent entailment, contradiction, or neutrality?",neutral,mnli
"For the statement, ""two that's still tough"", does the hypothesis ""Two is hard because you're outnumbered"" represent entailment, contradiction, or neutrality?",neutral,mnli
"For the statement, ""With forests and fells, a valley of breathtaking beauty, and the most spectacular lake setting in the National Park, this area has a greater variety of views than any other in the Lake District"", does the hypothesis ""Many other places in the Lake District have plenty of views "" represent entailment, contradiction, or neutrality?",neutral,mnli
"For the statement, ""i used to love hamburger joints and i don't go to them i don't eat hamburgers anymore but"", does the hypothesis ""I've always hated hamburgers, they taste disgusting "" represent entailment, contradiction, or neutrality?",contradiction,mnli
"For the statement, ""what about your car"", does the hypothesis ""What about your boat?"" represent entailment, contradiction, or neutrality?",contradiction,mnli
"For the statement, ""did you ever see the program uh Why Does Johnny Kill"", does the hypothesis ""Have you ever seen the great program Why Does Johnny Kill?"" represent entailment, contradiction, or neutrality?",neutral,mnli
"For the statement, ""wow i dropped the phone"", does the hypothesis ""I dropped the phone I was holding"" represent entailment, contradiction, or neutrality?",entailment,mnli
"For the statement, ""Not far from Mount Herzl is the powerful complex of Yad Vashem, dedicated to the memory of the millions of Jews murdered by the Nazis"", does the hypothesis ""There is a Holocaust memorial called Yad Vashem"" represent entailment, contradiction, or neutrality?",entailment,mnli
"For the statement, ""Especially in the evenings and on weekends, when you'll encounter a vibrant mix of Cubans and foreigners, the island's casas de la trova really swing"", does the hypothesis ""Cubans and foreigners mingle especially in the evenings and on weekends and spend hours merry-making"" represent entailment, contradiction, or neutrality?",neutral,mnli
"For the statement, ""i just had mine done for the first time last week yeah"", does the hypothesis ""I am familiar with it as I have done it countless times"" represent entailment, contradiction, or neutrality?",contradiction,mnli
"For the statement, ""So how do the Republicans break through the Democrats' defense and carry the ball into the end zone?"", does the hypothesis ""The Democrats are working with the Republicans"" represent entailment, contradiction, or neutrality?",contradiction,mnli
"For the statement, ""An additional increment of education or technical training is expected to reduce the period of transitional unemployment and increase the subsequent earnings of participants"", does the hypothesis ""An additional increment of education or technical training is expected to reduce the period of transitional unemployment "" represent entailment, contradiction, or neutrality?",entailment,mnli
"For the statement, ""Half the pleasure of this lovely town dramatically perched on a rocky precipice is a first glimpse of it from afar (not so very different today from Turner's 1828 painting in London's Tate Gallery)"", does the hypothesis ""The town is built right on a rocky precipice"" represent entailment, contradiction, or neutrality?",neutral,mnli
"For the statement, ""NPRMs that are published in the Federal Register have traditionally instructed interested parties to submit written comments on a proposed rule to the appropriate rulemaking docket, and have provided a mailing address where such comments can be filed"", does the hypothesis ""This is so they can be entered into offical record easier"" represent entailment, contradiction, or neutrality?",neutral,mnli
"For the statement, ""Back then we had no guns in high schools, no drive-by shootings, no graffiti on the walls, etc"", does the hypothesis ""In the past they did not have violence in high schools"" represent entailment, contradiction, or neutrality?",entailment,mnli
"For the statement, ""You can see the base of the medieval towers in an excavated area of the Cour"", does the hypothesis ""There is no longer a trace of the medieval towers where the excavation took place"" represent entailment, contradiction, or neutrality?",contradiction,mnli
"For the statement, ""they exactly and and yeah they never they never did things to embarrass the town and that's what i think would be would be bad about New England"", does the hypothesis ""They always brought embarrassment to the town and New England would be better because of it"" represent entailment, contradiction, or neutrality?",contradiction,mnli
"For the statement, ""In 1990, EPA projected the cost of full implementation of the SO2 emissions reduction with trading at $5"", does the hypothesis ""They could not estimate what the implementation would cost"" represent entailment, contradiction, or neutrality?",contradiction,mnli
"For the statement, ""The island has a checkered past of smuggling and pira cy"", does the hypothesis ""The island is unique in having a history free of piracy"" represent entailment, contradiction, or neutrality?",contradiction,mnli
"For the statement, ""Of course it's an awful risk for them to take, because she knows all about them but they're pretty desperate to get hold of that treaty"", does the hypothesis ""The risk is too big for the payoff"" represent entailment, contradiction, or neutrality?",neutral,mnli
"For the statement, ""Or how about offshore R &amp; R? Visit Subic Bay Naval station, rally the troops, or salute their memory, whatever, as long as there's time for off-base socializing"", does the hypothesis ""There is no naval station at Subic Bay"" represent entailment, contradiction, or neutrality?",contradiction,mnli
"For the statement, ""Further south, set among verdant gardens, is the Cairo Zoo"", does the hypothesis ""The Cairo Zoo was the most popular landmark of the area"" represent entailment, contradiction, or neutrality?",neutral,mnli
"For the statement, ""But there is a fundamental difference between them"", does the hypothesis ""There is no difference"" represent entailment, contradiction, or neutrality?",contradiction,mnli
"For the statement, ""authorized the Departments to jointly promulgate regulations limited solely to self-determination contracts or the approval, award or declination of such contract regarding the Federal Tort Claims Act, the Contract Disputes Act, declination and waiver procedures, appeal procedures, reassumption procedures, discretionary grant procedures, property donation procedures, internal agency procedures relating to implementation of the Act, retrocession and tribal organization relinquishment procedures, contract proposal contents, conflicts of interest, construction, programmatic reports and data requirements, procurement standards, property management standards and financial management standards"", does the hypothesis ""The appeal procedures and the programmatic reports are important kinds of documents"" represent entailment, contradiction, or neutrality?",neutral,mnli
"For the statement, ""The Court says today, through an unprecedented (and indeed previously rejected) interpretation of the First Amendment, that we will not allow this restriction- and then, to add insult to injury, permits to stand a judgment that awards the general litigation funding that the statute does not contain"", does the hypothesis ""The Court says that we can give funding even though the statue doesn't say that's true"" represent entailment, contradiction, or neutrality?",entailment,mnli
"For the statement, ""Great, here are the keys and the registration"", does the hypothesis ""I'm being given the keys and the registration to a vehicle"" represent entailment, contradiction, or neutrality?",neutral,mnli
"For the statement, ""With some reluctance she abandoned the interesting part she had sketched out for herself"", does the hypothesis ""She knew in her heart that she was doing the right thing"" represent entailment, contradiction, or neutrality?",neutral,mnli
"For the statement, ""The greatest concentrations are in the General Exhibition Hall and along Arlozorof Street, though you will find top-quality art in galleries and studios throughout the lower town"", does the hypothesis ""You won't find very many in the General Exhibition Hall and on Arlozorof Street"" represent entailment, contradiction, or neutrality?",contradiction,mnli
"For the statement, ""We got to the Soho house in plenty of time and met Mr Carter outside"", does the hypothesis ""We left very early to go to the Soho house, but did not expect to meet Mr Carter there"" represent entailment, contradiction, or neutrality?",neutral,mnli
"For the statement, ""Just as in the Bible, when a ram was substituted for Abraham, lambs are slaughtered, cooked, and shared by families or local neighborhoods"", does the hypothesis ""Just as it is in the bible, families celebrate by going to Burger King"" represent entailment, contradiction, or neutrality?",contradiction,mnli
"For the statement, ""Objective facilities, particularly federal agencies, in such processes"", does the hypothesis ""Federal agencies are not objective in scope at all "" represent entailment, contradiction, or neutrality?",contradiction,mnli
"For the statement, ""Trader Vic's opened garish Polynesian-themed restaurants; Arthur Godfrey brought the ukulele to television; Burt Lancaster and Debra Kerr rolled in the wet sands of Oahu; and jet air service brought in vacationers by the hundred thousands"", does the hypothesis ""Trader Vic opened restaurants"" represent entailment, contradiction, or neutrality?",entailment,mnli
"For the statement, ""In 2001, LSC devised a method to measure other significant responsibilities that programs undertake to help clients, in addition to handling client cases"", does the hypothesis ""LSC invented a way to measure client cases"" represent entailment, contradiction, or neutrality?",entailment,mnli
"For the statement, ""Overall, we found that GALs are very beneficial, said Beyea, who co-wrote the report with Frank D'Alessandro "", does the hypothesis ""Beyea has found that GALs are very beneficial"" represent entailment, contradiction, or neutrality?",entailment,mnli
"For the statement, ""oh well then you could go either one the Spring Creek one is a lot more modern has a lot more"", does the hypothesis ""The Spring Creek facility is more modern"" represent entailment, contradiction, or neutrality?",entailment,mnli
"For the statement, ""So then, what's behind all the brouhaha about my writings?"", does the hypothesis ""What's the reasoning why no one has paid attention to my work?"" represent entailment, contradiction, or neutrality?",contradiction,mnli
"For the statement, ""You are too amiable, madame "", does the hypothesis ""I don't understand why you don't like me "" represent entailment, contradiction, or neutrality?",contradiction,mnli
"For the statement, ""Co-stars Tom Cruise and Nicole Kidman are featured naked on the cover--like you've never seen them"", does the hypothesis ""Tom Cruise and Nicole Kidman were on the cover of a magazine"" represent entailment, contradiction, or neutrality?",neutral,mnli
"For the statement, ""Associate it more with a man"""", does the hypothesis ""Associate it with a man who is in his early 40s"" represent entailment, contradiction, or neutrality?",neutral,mnli
"For the statement, ""You can see why many of us do not see this as progress!"", does the hypothesis ""You can imagine now why we don't see it as progress!"" represent entailment, contradiction, or neutrality?",entailment,mnli
"For the statement, ""For the tourist, the olive, fig, and almond trees are objects of beauty and colour; for the farmer, they're cash crops"", does the hypothesis ""Tourists enjoy seeing olive, fig, and almond trees while farmers see them as profit"" represent entailment, contradiction, or neutrality?",entailment,mnli
"For the statement, ""Could I ask you a question before you go?"", does the hypothesis ""Before you go, can you rub my feet?"" represent entailment, contradiction, or neutrality?",contradiction,mnli
"For the statement, ""What they have been offered so far is a sort of junior membership, called Partnership for Peace  PFP provides for military cooperation, but no defense guarantee"", does the hypothesis ""They have been offered a junior membership so far"" represent entailment, contradiction, or neutrality?",entailment,mnli
"For the statement, ""Although legal services programs such as CCLS are an integral part of the process of delivering those services, the programs themselves are not the beneficiaries of the Act"", does the hypothesis ""The CCLS is the largest legal service program in existence at this time"" represent entailment, contradiction, or neutrality?",neutral,mnli
"For the statement, ""The application, even though it produced phrases completely illogical and nonsensical, became quite popular, and some of its most unique catchphrases you could have seen on TV - 'Out With There Harm Out!' or 'To Them Bag Away Now Now!'"", does the hypothesis ""the application was popular "" represent entailment, contradiction, or neutrality?",entailment,mnli
"For the statement, ""The Government Paperwork Elimination Act requires OMB to issue guidance to agencies regarding automated systems that maintain electronic information as a substitute for paper and use electronic signatures"", does the hypothesis ""The Government Paperwork Elimination Act does not require OMB to issue guidance"" represent entailment, contradiction, or neutrality?",contradiction,mnli
"For the statement, ""If auditors make the judgment that certain additional information should be excluded from a publicly available report, they should state the nature of the information omitted and the reasons that makes the omission necessary"", does the hypothesis ""There should be no explanation for missing information in a report cleared for the public "" represent entailment, contradiction, or neutrality?",contradiction,mnli
"For the statement, ""He did so with surety, using the elbow of his bad arm to steady himself at the threshold, then raising both fists in a stretch"", does the hypothesis ""He has no hands "" represent entailment, contradiction, or neutrality?",contradiction,mnli
"For the statement, ""My mission"", does the hypothesis ""i dream"" represent entailment, contradiction, or neutrality?",contradiction,mnli
"For the statement, ""(About 40 percent of all hardcovers ordered by the chains are returned)"", does the hypothesis ""None of the hardcovers ordered by chains were returned "" represent entailment, contradiction, or neutrality?",contradiction,mnli
"For the statement, ""And that's the key point"", does the hypothesis ""That is one of several key points"" represent entailment, contradiction, or neutrality?",contradiction,mnli
"For the statement, ""Does it go on being a chick, or does it die?"", does the hypothesis ""Will that little male chick make it to roosterhood?"" represent entailment, contradiction, or neutrality?",neutral,mnli
"For the statement, ""yeah most of mine's been pretty good although i'm i guess i'm like a lot of other people now i'm trying to to pay off my credit cards and i've done pretty good at it"", does the hypothesis ""I am trying to pay off my credit cards and student loans and I am doing well"" represent entailment, contradiction, or neutrality?",neutral,mnli
"For the statement, ""The BJP defeated Congress in the general elections of May 1996, winning the largest number of seats in Parliament"", does the hypothesis ""Congress defeated the BJP in the May 1996 general elections"" represent entailment, contradiction, or neutrality?",contradiction,mnli
"For the statement, ""yeah those have been i mean and our dogs now our dogs with our kids i have two little kids three and a half and one and a half"", does the hypothesis ""I have never cared for kids"" represent entailment, contradiction, or neutrality?",contradiction,mnli
"For the statement, ""'No sir"", does the hypothesis ""I was nervous as I said no"" represent entailment, contradiction, or neutrality?",neutral,mnli
"For the statement, ""Clinton may be the case's official title, but it isn't the matchup the White House wants"", does the hypothesis ""The White House doesn't want this fight with Clinton"" represent entailment, contradiction, or neutrality?",entailment,mnli
"For the statement, ""It may be a long-shot strategy, but Dole is far behind"", does the hypothesis ""The strategy is a long-shot"" represent entailment, contradiction, or neutrality?",entailment,mnli
"For the statement, ""As such, an organization's success in managing security-related efforts is likely to hinge on its overall ability to manage its use of information technology"", does the hypothesis ""There is no correlation between a company's use of information technology and their success in any other areas"" represent entailment, contradiction, or neutrality?",contradiction,mnli
"For the statement, ""i think tickets are yeah thirty or thirty two for really good tickets see they they sectioned it out even more they used to just have like uh first of all it was all one price and then they sectioned it out to end zone and then everything else and now they're sectioning it off to like from the from one twenty yard line to the other one just on the lower levels is the highest price and then the next highest price is that same area but above it on the upper level and then like from the twenty to the ten yard line and then they're some sections kind of in the corner areas and then the cheapest of course is going to be the end the direct end zones but um they have about four or five different prices now that they're structuring it with but obviously yeah they're all going up even more or less is what it's going to do"", does the hypothesis ""All of the tickets are the same price; they cost 99 dollars "" represent entailment, contradiction, or neutrality?",contradiction,mnli
"For the statement, ""well i let's hope it well it if it's the same as what we had at least it'll be warmer"", does the hypothesis ""Let's hope we don't get the same a you "" represent entailment, contradiction, or neutrality?",contradiction,mnli
"For the statement, ""What happened in actual fact to a young man who ran incessantly and persistently through the London streets? "", does the hypothesis ""Did the kid running through the streets ever grow up?"" represent entailment, contradiction, or neutrality?",neutral,mnli
"For the statement, ""She seemed to be looking back earnestly into those past days "", does the hypothesis ""It seemed that she had no interest in the past"" represent entailment, contradiction, or neutrality?",contradiction,mnli
